RouteNumber,Stop,latitude,longitude,StopNumber
6,St Fintan's NS Sutton,53.38022379,-6.094044935,719
6,Duncarraig Sutton,53.38220892,-6.097909902,720
6,Strand Road Sutton,53.383934,-6.100689401,680
6,The Moorings Sutton,53.38122599,-6.102223027,681
6,La Vista Avenue Sutton,53.37952466,-6.102629473,682
6,Carrickbrack Lawn Sutton,53.37767204,-6.100306749,683
6,St Fintan's Grove Sutton,53.37657788,-6.097634848,684
6,Sutton Park School Sutton,53.37540988,-6.094846108,685
6,Sutton Castle Sutton,53.37385581,-6.094344364,686
6,Shielmartin Road Sutton,53.37291278,-6.097768149,688
6,Slieverue Lodge Sutton,53.3748993,-6.099468317,689
6,Sutton Dinghy Club Sutton,53.3764937,-6.101381384,690
6,The Moorings Sutton,53.38142402,-6.102244291,691
6,Strand Road Sutton,53.38396311,-6.100823437,692
6,St Fintan's Church Sutton,53.3868925,-6.104166033,693
6,Sutton Cross Sutton,53.38935319,-6.110837658,585
6,St Fintans High Sch Sutton,53.38883696,-6.116844528,586
6,Baldoyle Road Jct Sutton,53.38832029,-6.12513665,587
6,Sutton Park Sutton,53.38805314,-6.127584144,588
6,Kilbarrack Cemetery Bayside,53.38677418,-6.134300533,589
6,Bayside Bayside,53.38618193,-6.137243129,590
6,Kilbarrack Road Kilbarrack,53.38416757,-6.144682461,591
6,James Larkin Road Kilbarrack,53.38273303,-6.148382891,592
6,Fox's Lane Kilbarrack,53.3793971,-6.155848125,7730
6,Watermill Road Saint Anne'S Park,53.37473772,-6.166119811,7728
6,St Anne's Pitches Raheny,53.37681499,-6.170284178,7726
6,Cill Eanna Raheny,53.37922352,-6.179666069,601
6,Wade's Avenue Raheny,53.3781425,-6.183049126,602
6,Ennafort Park Raheny,53.37738213,-6.187425384,603
6,All Saints Road Raheny,53.37635465,-6.190790789,604
6,The Meadows Raheny,53.37566669,-6.193435377,605
6,St Brigid's Church Killester,53.37470896,-6.197864622,606
6,The Demesne Killester,53.3725158,-6.202030164,607
6,Killester Killester,53.37107836,-6.204465336,608
6,Castle Grove Clontarf,53.36983759,-6.208620272,609
6,Ashbrook Clontarf,53.36836228,-6.211537498,610
6,Hollybrook Park Clontarf,53.36675465,-6.218832896,611
6,Copeland Avenue Marino,53.36575623,-6.224209068,612
6,Marino Crescent Pk Clontarf,53.36461748,-6.226811045,613
6,Fairview Fairview,53.36363805,-6.233493228,614
6,Nth Strand Fire Stn North Strand,53.35984472,-6.239554837,616
6,Newcomen Bridge North Strand,53.35610115,-6.24474206,618
6,Amiens Street Connolly Station,53.35404459,-6.247305269,619
6,Talbot Street Dublin,53.35096109,-6.252779611,620
6,Gardiner Street Dublin City,53.35045056,-6.25596996,7569
6,Abbey St Lower Dublin,53.34889004,-6.25682995,7591
7,Brides Glen Luas Rathmichael,53.24139896,-6.143073295,7639
7,Cherrywood Bus Pk Tullyvale,53.24334833,-6.140696257,7640
7,Valley Drive Carrickmines,53.24581193,-6.140169912,5047
7,Ashlawn Ballybrack,53.25194585,-6.132365263,3224
7,Ballybrack SC Druid Valley,53.25529488,-6.133852986,3225
7,Kilbogget Park Ballybrack,53.25854706,-6.137773525,3226
7,Auburn Drive Sallynoggin,53.26195419,-6.137805399,3227
7,Church Road Killiney,53.26475426,-6.134655336,3228
7,Churchview Road Killiney,53.26535274,-6.1344195,3229
7,Sallyglen Road Glenageary Heights,53.2676425,-6.134844509,7644
7,Park Close Glenageary Heights,53.27510038,-6.134684761,7645
7,Glenageary Avenue Glenageary Heights,53.2790895,-6.135725719,7646
7,Holmston Avenue Glenageary,53.28330977,-6.133727263,3238
7,Crosthwaite Park Glenageary,53.2843865,-6.133035405,3239
7,Corrig Road Dun Laoghaire,53.28717186,-6.131248939,3240
7,George's St Upper Dun Laoghaire,53.28982952,-6.130487919,3068
7,Corrig Avenue Dun Laoghaire,53.29075299,-6.132637733,3069
7,Dun Laoghaire SC Dun Laoghaire,53.29211508,-6.135818543,3070
7,St Michael's Hosp Dun Laoghaire,53.29359763,-6.139234396,2041
7,De Vesci Park Dun Laoghaire,53.29498475,-6.145189955,3071
7,Grosvenor Terrace Dun Laoghaire,53.29418525,-6.148690057,3072
7,Monkstown Road Monkstown,53.29378259,-6.155188312,3073
7,Drayton Close Monkstown,53.294493,-6.159283253,3074
7,Queen's Park Monkstown,53.29488042,-6.162251924,3075
7,Montpellier Parade Monkstown,53.29543278,-6.166023879,3076
7,Montpellier Manor Monkstown,53.2959197,-6.168463364,3077
7,Frascati SC Blackrock,53.30138122,-6.18116339,3084
7,Rock Road Blackrock,53.30284574,-6.18407216,469
7,Blackrock Clinic Blackrock,53.30562582,-6.188981033,470
7,Blackrock College Blackrock,53.30687077,-6.191059245,471
7,Booterstown Station Booterstown,53.30788203,-6.194918316,472
7,Grotto Avenue Blackrock,53.30924059,-6.19738214,473
7,St Helen's Road Booterstown,53.31081826,-6.200077072,4705
7,Bellevue Avenue Booterstown,53.31270603,-6.20188895,475
7,Merrion Gates Merrion,53.31575151,-6.20476255,476
7,Herbert Avenue Merrion,53.31686309,-6.206952385,477
7,St Vincent's Hosp Merrion,53.31811433,-6.211267797,478
7,Merrion Centre Merrion,53.31914394,-6.213401287,479
7,Netherlands Embassy Merrion,53.32084996,-6.216287253,480
7,Wanderers FC Ballsbridge,53.32234467,-6.218266485,481
7,Shrewsbury Road Ballsbridge,53.32472779,-6.221965269,482
7,British Embassy Ballsbridge,53.32594411,-6.223971455,483
7,RDS Ballsbridge Ballsbridge,53.32825155,-6.228634935,485
7,American Embassy Ballsbridge,53.33085525,-6.233902252,487
